replicates	alpha	beta	n
1000	0.3	0.3	10
1000	0.3	0.3	31
1000	0.3	0.3	100
1000	0.3	0.3	316
1000	0.3	0.3	1000
1000	0.3	0.3	3162
1000	0.3	0.3	10000
1000	0.3	0.3	31622
1000	1	1	10
1000	1	1	31
1000	1	1	100
1000	1	1	316
1000	1	1	1000
1000	1	1	3162
1000	1	1	10000
1000	1	1	31622
1000	1.387	0.954	10
1000	1.387	0.954	31
1000	1.387	0.954	100
1000	1.387	0.954	316
1000	1.387	0.954	1000
1000	1.387	0.954	3162
1000	1.387	0.954	10000
1000	1.387	0.954	31622
1000	2	6	10
1000	2	6	31
1000	2	6	100
1000	2	6	316
1000	2	6	1000
1000	2	6	3162
1000	2	6	10000
1000	2	6	31622
1000	50	50	10
1000	50	50	31
1000	50	50	100
1000	50	50	316
1000	50	50	1000
1000	50	50	3162
1000	50	50	10000
1000	50	50	31622
